Date,Open,High,Low,Close,Volume
2018-01-01,1098.8057626177604,1103.9263948299258,1079.429270324457,1083.7716064453125,1351760
2018-01-02,1089.6701447798841,1093.6028289163455,1073.3660376487603,1077.8721923828125,1920290
2018-01-03,1078.2003021860842,1093.3573733034416,1077.8725617270234,1080.9244384765625,1257120
2018-01-04,1085.5742284500493,1090.490036276993,1081.4777219275963,1088.4827880859375,913082
2018-01-05,1085.5740414198397,1105.8517452123988,1085.5740414198397,1101.63232421875,1153706
2018-01-08,1106.0565162541861,1117.0556738374294,1098.6213985665263,1111.9554443359375,1242220
2018-01-09,1112.2010669729375,1114.6589698833748,1096.4500258243493,1109.7431640625,2149396
2018-01-10,1110.5628248024457,1153.5761396693792,1103.8649971967943,1149.7254638671875,3365850
2018-01-11,1151.1179457751466,1155.9927468928913,1139.729641469282,1143.1297607421875,2520744
2018-01-12,1149.0698225806877,1149.0698225806877,1122.667863950242,1137.3333740234375,3360314
2018-01-15,1137.660852264076,1150.298610262814,1120.4146261275762,1124.9412841796875,1457214
2018-01-16,1128.9969007668183,1172.2764407930922,1126.7643253015144,1167.852294921875,4267752
2018-01-17,1175.6968603174525,1198.2276363862538,1172.4810640917945,1183.459716796875,4280806
2018-01-18,1186.7576887524056,1201.5051091166054,1174.898324878664,1195.4422607421875,2209478
2018-01-19,1200.5013560975517,1221.5778554317596,1189.4816970589256,1212.27880859375,1820000
2018-01-22,1215.8515032071857,1287.1765105490765,1199.8372483523797,1279.662109375,4367110
2018-01-23,1279.0664339519503,1290.3175321085503,1268.8419906074946,1273.7489013671875,3239610
2018-01-24,1268.821412822512,1338.2370509428408,1265.8033023718367,1303.56005859375,5621538
2018-01-25,1303.7241926729105,1305.6951973290484,1265.125744133933,1281.5711669921875,3833844
2018-01-29,1285.821177157389,1324.2554211069803,1281.9613719987574,1313.5177001953125,3141060
2018-01-30,1305.7774936089106,1315.5503137682058,1290.8719002829139,1294.629150390625,1574758
2018-01-31,1288.1206894455415,1293.4587732717423,1272.352851166398,1277.9989013671875,3043214
2018-02-01,1282.7824696675546,1309.8835077591227,1268.328602735277,1288.777587890625,2400630
