Date,Open,High,Low,Close,Volume
2018-01-01,1098.8055150903995,1103.9261461490428,1079.4290271620278,1083.7713623046875,1351760
2018-01-02,1089.6705149992183,1093.6032004718231,1073.3664023287156,1077.87255859375,1920290
2018-01-03,1078.200423948756,1093.357496777823,1077.872683452683,1080.924560546875,1257120
2018-01-04,1085.5738632176724,1090.4896693907338,1081.4773580734548,1088.482421875,913082
2018-01-05,1085.5740414198397,1105.8517452123988,1085.5740414198397,1101.63232421875,1153706
2018-01-08,1106.0563948314573,1117.0555512072144,1098.6212779600235,1111.955322265625,1242220
2018-01-09,1112.2013116542946,1114.6592151054645,1096.4502670405184,1109.743408203125,2149396
2018-01-10,1110.5625889778853,1153.5758947110753,1103.8647627944968,1149.7252197265625,3365850
2018-01-11,1151.118068698486,1155.9928703367914,1139.729763176509,1143.1298828125,2520744
2018-01-12,1149.06957592071,1149.06957592071,1122.6676229577236,1137.3331298828125,3360314
2018-01-15,1137.661099165168,1150.2988599066184,1120.4148692858023,1124.9415283203125,1457214
2018-01-16,1128.9971367846865,1172.276685858589,1126.7645608526607,1167.8525390625,4267752
2018-01-17,1175.697102856647,1198.2278835734119,1172.4813059675894,1183.4599609375,4280806
2018-01-18,1186.7578099359096,1201.505231806014,1174.8984448511715,1195.4423828125,2209478
2018-01-19,1200.5015978663175,1221.5781014451181,1189.4819366084441,1212.279052734375,1820000
2018-01-22,1215.8513872239334,1287.1763877619455,1199.8371338967693,1279.6619873046875,4367110
2018-01-23,1279.0668016917125,1290.3179030830747,1268.842355407664,1273.749267578125,3239610
2018-01-24,1268.8215316397657,1338.2371762604384,1265.803420906463,1303.5601806640625,5621538
2018-01-25,1303.7244410337098,1305.695446065326,1265.125985141688,1281.5714111328125,3833844
2018-01-29,1285.8209381646557,1324.255174970559,1281.9611337234373,1313.5174560546875,3141060
2018-01-30,1305.7777398518856,1315.5505618541351,1290.8721437149982,1294.62939453125,1574758
2018-01-31,1288.1205664084287,1293.458649724753,1272.3527296353782,1277.998779296875,3043214
2018-02-01,1282.7824696675546,1309.8835077591227,1268.328602735277,1288.777587890625,2400630
2018-02-02,1281.140255547771,1309.8837869222402,1274.3444434371966,1294.9576416015625,2456490
2018-02-05,1277.0338254984558,1309.0623265881277,1263.4217526351313,1274.2415771484375,2757742
2018-02-06,1235.9713888935953,1263.5445975526895,1225.7058457964724,1230.7359619140625,2657306
2018-02-07,1242.9521771728664,1244.5946643577663,1210.2871932332807,1213.407958984375,2180324
2018-02-08,1223.5505779870555,1243.198875543576,1215.0301737607842,1221.2716064453125,2755004
2018-02-09,1211.334641737162,1229.402005885106,1189.4279226079836,1220.2451171875,2102458
2018-02-12,1222.9547051917523,1241.4532339767052,1213.6130609359764,1218.4378662109375,1974562
2018-02-14,1219.5468524364553,1221.3740995560363,1187.723660159073,1195.648681640625,2847532
2018-02-15,1203.9225795372163,1208.4599705263945,1192.8974442371382,1201.4178466796875,2465236
2018-02-16,1200.247863473032,1231.7015424171784,1200.247863473032,1204.3746337890625,2515756
2018-02-19,1209.2812855895743,1212.6894668178702,1188.832298469269,1200.4940185546875,1568224
2018-02-20,1202.3005520948298,1225.7265443090005,1202.2594498177216,1209.178466796875,1889068
2018-02-21,1221.1892517940198,1257.5703839277498,1215.4610976466947,1249.2347412109375,3089228
2018-02-22,1253.2180212955109,1264.3048124406546,1241.1046754147058,1252.4788818359375,3463010
2018-02-23,1252.396779785366,1268.4110336908184,1228.6218121639893,1262.9908447265625,3362500
2018-02-26,1262.6622715394292,1268.8010485495374,1240.5707945110544,1244.88232421875,1363882
2018-02-27,1248.7014795851467,1264.1203554582721,1245.0058816514847,1249.255859375,1717800
2018-02-28,1246.2375054950846,1258.1249898221495,1240.6735585260897,1246.258056640625,2706864
2018-03-01,1251.985994122204,1256.9955605361633,1240.0779607245183,1247.345947265625,1718124
2018-03-05,1251.985823321067,1278.532481639685,1245.3953236174189,1275.3297119140625,2858168
2018-03-06,1281.9612907775938,1284.0143998275257,1244.2456374305552,1249.4400634765625,1906764
2018-03-07,1260.6093120926805,1268.4111286821792,1239.4622829158816,1243.1373291015625,1917772
2018-03-08,1254.4087130969876,1254.4087130969876,1226.732839102877,1233.487548828125,1951826
2018-03-09,1233.9187827907297,1257.816956803535,1222.5034741679267,1245.867919921875,1872436
2018-03-12,1249.5223908832195,1266.3167858104139,1246.442726758466,1253.279541015625,2091340
2018-03-13,1201.0276873923272,1207.104910207061,1179.305833825891,1185.383056640625,88067154
2018-03-14,1187.9084766111737,1200.2682345593537,1180.558385498799,1185.4241943359375,3668668
2018-03-15,1188.750202585592,1191.8504174643363,1172.5717425189303,1178.3614501953125,2348906
2018-03-16,1177.991784154938,1179.3057538028768,1151.7940945045507,1160.2939453125,7197482
2018-03-19,1161.6492152832204,1169.4510304441892,1157.9536186280245,1162.470458984375,3489940
2018-03-20,1157.9539263360646,1179.7989945418658,1157.543304376371,1176.370361328125,4024984
2018-03-21,1179.5109938273251,1184.3563505968543,1170.2720043195393,1173.043701171875,3907678
2018-03-22,1174.3578597009257,1180.9278088524889,1159.000643658934,1162.6141357421875,2326094
2018-03-23,1150.5623453302403,1163.7433459172155,1148.9404091831125,1157.19384765625,3654122
2018-03-26,1157.54304549353,1160.9922290837508,1142.1652765921194,1156.7218017578125,2964210
2018-03-27,1160.0069055438878,1175.6105382556286,1159.2062128625255,1169.3280029296875,2494574
2018-03-28,1164.4822351908363,1180.5375864665637,1160.0064980062755,1169.9229736328125,6865654
2018-04-02,1166.165858052819,1196.5518698471528,1166.165858052819,1194.765625,1662988
2018-04-03,1187.5597258303287,1203.0811546105792,1187.5597258303287,1195.423095703125,1937290
2018-04-04,1202.8962306292508,1204.7645802087823,1187.5184614736872,1195.2791748046875,2841820
2018-04-05,1201.7055117820314,1216.9806260344478,1199.159676114876,1214.5989990234375,1809424
2018-04-06,1212.9769223684461,1215.4406534226814,1201.705372845215,1211.4576416015625,1129018
2018-04-09,1207.1049100520233,1216.8777291414187,1196.9625714348695,1200.6170654296875,1235866
2018-04-10,1201.35633764154,1214.3114771791354,1201.35633764154,1206.2427978515625,1184532
2018-04-11,1211.580723972191,1242.1309458123865,1209.5276149708484,1237.6756591796875,3124416
2018-04-12,1235.971802175828,1293.4588627421458,1235.1300073104971,1289.044677734375,6114360
2018-04-13,1293.4585267929485,1330.743002154839,1286.108437486509,1294.8135986328125,8179118
2018-04-16,1279.4975663675132,1313.9692474397486,1277.3418018542175,1308.9185791015625,6270274
2018-04-17,1308.918655935968,1311.916215389831,1292.309022713186,1300.275146484375,3301724
2018-04-18,1300.028685034878,1311.300233969257,1291.7546954431134,1297.1954345703125,2433066
2018-04-19,1305.736217655007,1321.052430797215,1299.9259593028817,1310.355712890625,4820952
2018-04-20,1334.521193906476,1405.2919194738965,1330.4149748483023,1397.1204833984375,18465662
2018-04-23,1405.969468472256,1460.9517040232868,1391.8235632333494,1399.6663818359375,15185910
2018-04-24,1400.2208525729934,1413.8329301455674,1372.5038708871643,1390.22216796875,8314336
2018-04-25,1389.9550562102086,1430.1960002304747,1381.7631697988365,1424.9605712890625,8196574
2018-04-26,1423.6257876928155,1461.8136152830755,1423.6257876928155,1453.293212890625,12135034
2018-04-27,1447.442115130099,1455.2439307861193,1404.3268180836706,1417.4461669921875,4501330
2018-04-30,1417.445902386714,1457.2967681245432,1411.5535397066967,1450.3572998046875,3458558
2018-05-02,1449.7003515736615,1450.3983886255028,1425.3915596101972,1437.07373046875,3158046
2018-05-03,1441.200492701811,1447.8525461766087,1425.0219327451653,1429.7236328125,3761550
2018-05-04,1433.8914683661926,1435.9445775706115,1424.8577878667493,1429.27197265625,2347244
2018-05-07,1433.0703801848258,1433.0703801848258,1400.5901489467458,1404.7169189453125,3484426
2018-05-08,1410.362940222623,1431.6331734911748,1394.759308903918,1413.031982421875,2992820
2018-05-09,1412.620902982598,1435.0203391569637,1412.620902982598,1432.782470703125,2615050
2018-05-10,1438.3879453735651,1441.7550248587663,1412.621421492173,1417.1588134765625,3858678
2018-05-11,1418.3700574243835,1431.0172311961858,1413.5658015474517,1419.499267578125,2627876
2018-05-14,1419.51968700398,1425.2683927077853,1400.548978231316,1409.890625,2433894
2018-05-15,1416.6451134366384,1435.451610644616,1409.951958502974,1429.94921875,1952890
2018-05-16,1428.9435977276419,1440.8721834455616,1427.013694932798,1434.6717529296875,1648450
2018-05-17,1442.4939377773621,1450.7884786942084,1427.3214812074018,1433.809326171875,2968048
2018-05-18,1429.2929599762008,1444.4448704289393,1419.9307590970886,1438.0186767578125,1874996
2018-05-21,1448.961285238081,1474.953668091481,1444.5882026860959,1460.479248046875,3446178
2018-05-22,1460.9923812593172,1467.9524007997406,1434.5893791647436,1440.830810546875,1857416
2018-05-23,1447.4418584751393,1455.654294551594,1429.374499106939,1435.164306640625,1507298
2018-05-24,1441.2823307479869,1484.397614146431,1438.14111448588,1479.757568359375,2962316
2018-05-25,1488.5044400530876,1508.9534314449565,1466.967340687597,1472.4080810546875,3769772
2018-05-28,1485.0143407387568,1485.0143407387568,1431.4281741505063,1438.0186767578125,3716798
2018-05-29,1449.4539894746586,1455.2437975047005,1432.2489745192988,1446.8260498046875,3525312
2018-05-30,1440.8926481648402,1450.727021595617,1429.9906178054732,1442.96630859375,3779106
2018-05-31,1435.8862568765117,1456.6296368340609,1429.3444249935005,1441.7242431640625,5049371
2018-06-01,1452.4476460711248,1455.3459167445849,1421.2291709647473,1434.6025390625,1603856
2018-06-04,1444.9949593726485,1448.3072687351073,1418.1652333200004,1444.3739013671875,1681483
2018-06-05,1444.1671197624223,1450.7089520468887,1416.964794862073,1425.6181640625,2449568
2018-06-06,1426.7768650886617,1436.6310029458728,1420.317823176572,1429.0540771484375,2236512
2018-06-07,1428.4330573191332,1448.3069085513996,1427.439405190974,1437.1693115234375,2414762
2018-06-08,1436.7144136666768,1455.180581722491,1436.7144136666768,1446.734130859375,2582138
2018-06-11,1446.7338600132914,1459.9003095675862,1443.3387632310282,1448.8868408203125,2179378
2018-06-12,1454.9319293853741,1478.118095590719,1451.619619927468,1474.8057861328125,4608875
2018-06-13,1503.7884433990516,1516.7478739347237,1488.883051338929,1510.495849609375,5370983
2018-06-14,1515.3817050577009,1517.2863235904222,1477.290143072644,1480.2298583984375,3819998
2018-06-15,1490.5393171811281,1529.5417424306343,1481.0992146222477,1523.703857421875,9183574
2018-06-18,1546.807039010616,1546.807039010616,1508.881157189901,1514.553466796875,4674987
2018-06-19,1508.8811868516411,1522.8342701981708,1507.928877667683,1510.8271484375,3245034
2018-06-20,1517.0375729679004,1520.5983456959912,1505.9413172283698,1509.12939453125,3107695
2018-06-21,1517.0378215680703,1517.0378215680703,1505.113486596653,1506.5626220703125,2910659
2018-06-22,1512.897432071832,1512.897432071832,1490.1667475406734,1498.654541015625,2949458
2018-06-25,1500.3935095294337,1509.0468782042597,1495.5078324955768,1506.4798583984375,2083217
2018-06-26,1509.5850001555539,1541.0519392701515,1507.928845465312,1533.5992431640625,4679712
2018-06-27,1540.2236593552375,1561.0498220627112,1532.977983538378,1538.5675048828125,4081208
2018-06-28,1544.3644834670804,1549.332948293248,1512.31792577177,1525.8983154296875,4888125
2018-06-29,1527.7197120095875,1546.3514498085683,1525.5667314139903,1530.0797119140625,3506276
2018-07-02,1533.5994277824213,1538.4023173957705,1524.5733634172914,1533.0611572265625,2650290
2018-07-03,1540.1825480856637,1556.7027531703695,1537.7812044483348,1551.8585205078125,3242233
2018-07-04,1556.7025915984113,1556.7025915984113,1537.863832356466,1545.3165283203125,2700614
2018-07-05,1550.9889302491174,1562.9960522398342,1541.9628666048804,1557.033935546875,2472571
2018-07-06,1559.1453279945954,1590.736497285476,1558.1516756655678,1584.0704345703125,3713781
2018-07-09,1593.2209494697624,1593.5522006531219,1553.8872721829568,1559.269775390625,6151747
2018-07-10,1571.690897861631,1572.4361877348845,1549.1257888169896,1552.7279052734375,5303302
2018-07-11,1573.3470922153988,1654.4986790770351,1568.5028595429433,1639.510498046875,22903802
2018-07-12,1642.905496764906,1648.6192508161537,1623.4456786328622,1632.4302978515625,6921701
2018-07-13,1635.4527766698618,1654.4157683224119,1634.624699314586,1640.5040283203125,4148185
2018-07-16,1647.8739280953557,1652.842392200166,1637.4815169093301,1647.21142578125,2582159
2018-07-17,1650.3646993743846,1666.9596184228953,1643.7267317549804,1661.27587890625,3315492
2018-07-18,1663.6402670125217,1669.1995231504516,1653.7248455869035,1659.698974609375,2013869
2018-07-19,1661.2342938585082,1668.1626520650864,1634.5994699607786,1644.05859375,1746318
2018-07-20,1646.962303654648,1659.4914437978578,1646.215512247475,1656.6702880859375,1934995
2018-07-23,1660.3213492644832,1667.7475336750472,1647.8751622385125,1664.1796875,2086201
2018-07-24,1671.9377981226942,1671.9377981226942,1646.3401602798697,1658.661865234375,2038423
2018-07-25,1661.068439216828,1661.151393554441,1633.2719498641436,1644.1416015625,1535492
2018-07-26,1638.7066779781278,1647.0456650592346,1622.2362415850043,1630.2017822265625,3503036
2018-07-27,1627.0071150953518,1630.1601898119534,1609.9558988034687,1612.8184814453125,2033977
2018-07-30,1612.195986632403,1621.903971358647,1602.6954383429363,1613.5235595703125,1579251
2018-07-31,1611.3662635447906,1615.5149923386753,1599.7498229219136,1609.8726806640625,2204803
2018-08-01,1617.962762474516,1644.1828104647961,1617.8383816358955,1639.9925537109375,2425180
2018-08-02,1642.8963330226443,1647.0450611363378,1613.8552362267894,1616.6763916015625,1509287
2018-08-03,1623.3974404300932,1644.5974832976842,1623.3974404300932,1642.4400634765625,1505131
2018-08-06,1657.00259928103,1658.6205633072032,1636.466387797702,1639.20458984375,1532249
