,Date,Stock,Open,High,Low,Close,Volume,Daily_Return,MA_10,MA_50,Volatility_10,Stock_Encoded
49,2013-03-11,AAPL,13.066665888136692,13.348219475533655,12.926497213813494,13.313556671142578,474236000.0,0.014245582215947739,13.203275299072265,14.334973869323731,0.017425060690072887,0
50,2013-03-12,AAPL,13.244535617419988,13.344264747687353,13.00038099393436,13.026529312133787,465911600.0,-0.021559029348703573,13.140822696685792,14.263570861816406,0.017662327933080275,0
51,2013-03-13,AAPL,13.027140758995344,13.211091606825176,12.933188338026742,13.024099349975586,405549200.0,-0.00018653949183056184,13.09150562286377,14.192119255065919,0.017605227640395682,0
52,2013-03-14,AAPL,13.160311795378746,13.215345372444917,13.087947224758818,13.15027904510498,303875600.0,0.009688170501373827,13.06444492340088,14.12738103866577,0.01802565240260614,0
53,2013-03-15,AAPL,13.31537956071264,13.506933083258136,13.294703504233416,13.489602088928224,643960800.0,0.025803486196709358,13.10454969406128,14.078558368682861,0.017988401123615425,0
54,2013-03-18,AAPL,13.422407923283526,13.909195722119517,13.41480683686565,13.85629177093506,606197200.0,0.027183135543175307,13.213005542755127,14.038943634033203,0.016584874987689388,0
55,2013-03-19,AAPL,13.971218203245748,14.01591537131788,13.63676075545758,13.818889617919922,526775200.0,-0.0026992902309976863,13.284001445770263,13.997728481292725,0.015579764272527913,0
56,2013-03-20,AAPL,13.907975614339335,13.914360459456049,13.66990143276714,13.745610237121582,308660800.0,-0.005302841460091967,13.364332294464111,13.960011444091798,0.014778571729107194,0
57,2013-03-21,AAPL,13.689060914558237,13.925004706605204,13.685412198775042,13.765377044677734,383255600.0,0.0014380451078679357,13.431679630279541,13.918814296722411,0.01471246957293546,0
58,2013-03-22,AAPL,13.821627054888024,14.050273405131575,13.776931506407442,14.0444974899292,395105200.0,0.020276992366103253,13.523473262786865,13.885140266418457,0.015421649904166775,0
59,2013-03-25,AAPL,14.129021460641694,14.288954368332728,14.040542962141622,14.095272064208984,501135600.0,0.0036152645771907466,13.601644802093507,13.863696784973145,0.015223294951410326,0
60,2013-03-26,AAPL,14.151828289263094,14.163990675867243,14.002539459192889,14.02108669281006,294294000.0,-0.005263138665290268,13.701100540161132,13.850339965820313,0.012614896112615126,0
61,2013-03-27,AAPL,13.878785895158751,13.8891231087938,13.704563412386005,13.745610237121582,331237200.0,-0.019647297083594917,13.773251628875732,13.819279289245605,0.015167591516640043,0
62,2013-03-28,AAPL,13.676898887025107,13.737709194522017,13.427575651997834,13.45919704437256,442839600.0,-0.02083670261328452,13.80414342880249,13.78455198287964,0.01717223764087575,0
63,2013-04-01,AAPL,13.436091448187147,13.490821386427344,13.005553435161094,13.04112720489502,389732000.0,-0.031062019383417905,13.75929594039917,13.743083553314209,0.01797851401682778,0
64,2013-04-02,AAPL,13.00129644274024,13.32176726789566,12.9648092764131,13.067883491516112,529519200.0,0.002051685118986457,13.680455112457276,13.702150249481202,0.014715192065153569,0
65,2013-04-03,AAPL,13.115919649695012,13.295615240210752,13.083690140325926,13.134771347045898,363216000.0,0.005118491879209985,13.612043285369873,13.659670963287354,0.015097560037066818,0
66,2013-04-04,AAPL,13.188589762052874,13.226291533697497,12.929840285122497,13.0049409866333,358447600.0,-0.009884478152091924,13.537976360321045,13.609008674621583,0.015178384194297415,0
67,2013-04-05,AAPL,12.907038840462311,12.920721933033263,12.76048531144555,12.867512702941896,383695200.0,-0.010567390027579227,13.44818992614746,13.593994750976563,0.015049977282616027,0
68,2013-04-08,AAPL,12.917675997191104,12.998249760371037,12.84592036825036,12.959027290344238,300829200.0,0.007112065052123029,13.339642906188965,13.587231788635254,0.012850896787932652,0
69,2013-04-09,AAPL,12.963591015587578,13.028657345588678,12.853827510652351,12.982441902160645,306614000.0,0.001806818620858408,13.22835988998413,13.574921550750732,0.012681887412385996,0
70,2013-04-10,AAPL,13.016496479730137,13.288928260218547,12.952949226673027,13.247272491455078,375928000.0,0.020399135331417018,13.150978469848633,13.562805271148681,0.015587219553550842,0
71,2013-04-11,AAPL,13.18737312846548,13.317203757519083,13.110751720374289,13.205921173095703,328364400.0,-0.0031214967749813027,13.097009563446045,13.550732498168946,0.014781889772131353,0
72,2013-04-12,AAPL,13.200445218873746,13.200445218873746,13.046595119408217,13.068182945251465,238613200.0,-0.01043003559076594,13.057908153533935,13.536715259552002,0.013789949868439158,0
73,2013-04-15,AAPL,12.983050031154953,13.01011093433133,12.75653086696062,12.765652656555176,317520000.0,-0.02315014183408093,13.030360698699951,13.517777938842773,0.012117501547459412,0
74,2013-04-16,AAPL,12.81794979577634,12.971191807433344,12.787544641176998,12.959942817687988,305771200.0,0.015219759330757254,13.019566631317138,13.509558124542236,0.013274959724269383,0
75,2013-04-17,AAPL,12.778422418090358,12.78845679265192,12.104641649377015,12.247241973876951,945056000.0,-0.054992591698655335,12.930813694000244,13.477701148986817,0.021428276013277577,0
76,2013-04-18,AAPL,12.313832545139588,12.338156509391386,11.85015164844073,11.920388221740724,666299200.0,-0.02668794760758364,12.822358417510987,13.43960334777832,0.022339889854920816,0
77,2013-04-19,AAPL,11.796330759456112,12.14994437365038,11.70906686902827,11.874168395996094,609274400.0,-0.0038773758777699285,12.723023986816406,13.392359619140626,0.022369294560818157,0
78,2013-04-22,AAPL,11.938324360390189,12.228999699410153,11.896670218543951,12.121667861938477,429920400.0,0.020843519957645107,12.63928804397583,13.345955066680908,0.023762553011438477,0
79,2013-04-23,AAPL,12.283423719506862,12.416903055977665,12.12592407811587,12.348491668701172,664238400.0,0.018712260502938838,12.575893020629882,13.3010768699646,0.02498130875281113,0
80,2013-04-24,AAPL,11.965690979377136,12.62578870945272,11.934068772800442,12.328121185302734,969651200.0,-0.0016496333272888464,12.483977890014648,13.263106803894043,0.023444831116110572,0
81,2013-04-25,AAPL,12.50356326566268,12.58596143054122,12.374948829346604,12.416908264160156,384837600.0,0.007201995950791851,12.405076599121093,13.227453651428222,0.023854067257353905,0
82,2013-04-26,AAPL,12.46038286803022,12.732813813416886,12.41295037553912,12.685077667236328,764097600.0,0.021597115591987404,12.36676607131958,13.197419376373292,0.025282688875838472,0
83,2013-04-29,AAPL,12.783896524719472,13.184334597367236,12.770214245103531,13.077916145324709,640326400.0,0.03096855126894682,12.397992420196534,13.17915189743042,0.02618960911696917,0
84,2013-04-30,AAPL,13.229332717476517,13.537946365386311,13.137204671989634,13.462844848632812,691538400.0,0.02943348917600397,12.448282623291016,13.168582992553711,0.027304534646164568,0
85,2013-05-01,AAPL,13.5139217843987,13.528212177677544,13.20774152247194,13.35672664642334,506909200.0,-0.007882301504815281,12.559231090545655,13.155995140075683,0.01866180113471784,0
86,2013-05-02,AAPL,13.432438300797688,13.639497626489538,13.397472662043333,13.546154975891112,421828400.0,0.014182241988047073,12.721807765960694,13.153970127105714,0.013870472461018826,0
87,2013-05-03,AAPL,13.722199639984469,13.780579085085282,13.65652438806239,13.681761741638184,361300800.0,0.010010720089089542,12.902567100524902,13.156353836059571,0.012638644323711293,0
88,2013-05-06,AAPL,13.855987399067416,14.053318500357172,13.813420662818231,14.008015632629396,496641600.0,0.023845897710549346,13.091201877593994,13.162374172210694,0.012844246792248151,0
89,2013-05-07,AAPL,14.137537789069963,14.16125362950684,13.794870281775728,13.945680618286133,483753200.0,-0.0044499532252136875,13.25092077255249,13.172018756866455,0.014059636817875846,0
90,2013-05-08,AAPL,13.95723548833118,14.149701609832483,13.859027054570108,14.10318088531494,472598000.0,0.01129383866874778,13.428426742553711,13.181061267852783,0.013199575024974049,0
91,2013-05-09,AAPL,14.07318885093814,14.170823059994902,13.94372312077557,13.980144500732422,398487600.0,-0.008724016630222042,13.584750366210937,13.190318756103515,0.014909969169633788,0
92,2013-05-10,AAPL,14.016874919533858,14.070130692253125,13.787632036977806,13.863842010498049,334852000.0,-0.008319119321569257,13.702626800537109,13.1991778755188,0.015753932062548326,0
93,2013-05-13,AAPL,13.819149389219335,14.014725032569482,13.81884372565639,13.918007850646973,316948800.0,0.003906986253010336,13.786635971069336,13.215766944885253,0.013766751404030648,0
94,2013-05-14,AAPL,13.890770694206054,13.932089219480815,13.532673539362149,13.58501148223877,447118000.0,-0.023925576992164466,13.798852634429931,13.232032508850098,0.014152334214757327,0
95,2013-05-15,AAPL,13.441164785714133,13.49748045835932,12.926974727054082,13.1256103515625,741613600.0,-0.03381676425352287,13.775741004943848,13.232366104125976,0.01785226833592256,0
96,2013-05-16,AAPL,12.953905658933593,13.40106701477066,12.821073567221092,13.300983428955078,603204000.0,0.01336113694489649,13.751223850250245,13.239539737701415,0.01777332925871669,0
97,2013-05-17,AAPL,13.43779605396644,13.46962675453216,13.191719656194238,13.260583877563477,427904400.0,-0.0030373356682525943,13.709106063842773,13.242913341522216,0.017292006408026875,0
98,2013-05-20,AAPL,13.219262921998514,13.64438785198146,13.163865074127852,13.556547164916992,451578400.0,0.02231902381419837,13.663959217071532,13.251513061523438,0.017033562403253755,0
99,2013-05-21,AAPL,13.410251933660804,13.634597633932882,13.289356226645747,13.456467628479004,456022000.0,-0.0073823765904775795,13.61503791809082,13.254371280670165,0.017083803001599784,0
100,2013-05-22,AAPL,13.59082899201637,13.722437624196402,13.412392525629349,13.508191108703612,443038400.0,0.0038437635828842964,13.555538940429688,13.264004516601563,0.016523507532624732,0
101,2013-05-23,AAPL,13.342913492674503,13.655406289812426,13.338016337038264,13.532367706298828,353021200.0,0.0017897731384359794,13.510761260986328,13.274169883728028,0.01653655463227489,0
102,2013-05-24,AAPL,13.49289147522838,13.640108602712774,13.477894338219892,13.624499320983888,276166800.0,0.006808240559571521,13.486826992034912,13.283654289245606,0.016699824274530466,0
103,2013-05-27,AAPL,13.49289147522838,13.640108602712774,13.477894338219892,13.624499320983888,276166800.0,0.0,13.457476139068604,13.286352233886719,0.01660173952951594,0
104,2013-05-28,AAPL,13.769878543817414,13.806911250042257,13.492889233475946,13.510946273803713,386145200.0,-0.008334474868025854,13.450069618225097,13.279445323944092,0.014965780546831777,0
105,2013-05-29,AAPL,13.466873660984032,13.696422992115526,13.44850932219789,13.618375778198242,330576400.0,0.007951293878121879,13.499346160888672,13.275435047149658,0.0094170594472513,0
106,2013-05-30,AAPL,13.639797612717713,13.910666249615002,13.604906192471809,13.821294784545898,353519600.0,0.014900382369570808,13.551377296447754,13.276948738098145,0.009602690193432047,0
